Number,Name,Time,Stands,Cluster
3,BOLTON STREET,00:50:00,12.515463917525773,2
3,BOLTON STREET,01:00:00,12.562176165803109,2
3,BOLTON STREET,01:10:00,12.517948717948718,2
3,BOLTON STREET,01:20:00,12.575129533678757,2
3,BOLTON STREET,01:30:00,12.507692307692308,2
3,BOLTON STREET,01:40:00,12.51150895140665,2
3,BOLTON STREET,01:50:00,12.446194225721785,2
3,BOLTON STREET,02:00:00,12.46923076923077,2
3,BOLTON STREET,02:10:00,12.475703324808185,2
3,BOLTON STREET,02:20:00,12.485933503836318,2
3,BOLTON STREET,02:30:00,12.501278772378516,2
3,BOLTON STREET,02:40:00,12.479591836734693,2
3,BOLTON STREET,02:50:00,12.44186046511628,2
3,BOLTON STREET,03:00:00,12.536082474226804,2
3,BOLTON STREET,03:10:00,12.485714285714286,2
3,BOLTON STREET,03:20:00,12.453846153846154,2
3,BOLTON STREET,03:30:00,12.508951406649617,2
3,BOLTON STREET,03:40:00,12.475703324808185,2
3,BOLTON STREET,03:50:00,12.445876288659793,2
3,BOLTON STREET,04:00:00,12.51025641025641,2
3,BOLTON STREET,04:10:00,12.587628865979381,2
3,BOLTON STREET,04:20:00,12.781491002570695,2
3,BOLTON STREET,04:30:00,12.92987012987013,2
3,BOLTON STREET,04:40:00,13.100257069408741,2
3,BOLTON STREET,04:50:00,13.41343669250646,2
3,BOLTON STREET,05:00:00,13.427835051546392,2
3,BOLTON STREET,05:10:00,13.63496143958869,2
3,BOLTON STREET,05:20:00,13.901041666666666,2
3,BOLTON STREET,05:30:00,14.24155844155844,2
3,BOLTON STREET,05:40:00,14.483116883116883,2
3,BOLTON STREET,05:50:00,14.577319587628866,2
3,BOLTON STREET,06:00:00,14.83419689119171,2
3,BOLTON STREET,06:10:00,15.062015503875969,2
3,BOLTON STREET,06:20:00,15.232984293193716,2
3,BOLTON STREET,06:30:00,15.441253263707571,2
3,BOLTON STREET,06:40:00,15.518134715025907,2
3,BOLTON STREET,06:50:00,15.642487046632125,2
3,BOLTON STREET,07:00:00,15.521850899742931,2
3,BOLTON STREET,07:10:00,15.742105263157894,2
3,BOLTON STREET,07:20:00,16.139107611548557,2
3,BOLTON STREET,07:30:00,16.480417754569192,2
3,BOLTON STREET,07:40:00,16.39425587467363,2
3,BOLTON STREET,07:50:00,16.287564766839377,2
3,BOLTON STREET,08:00:00,15.797402597402597,2
3,BOLTON STREET,08:10:00,16.072164948453608,2
3,BOLTON STREET,08:20:00,16.416666666666668,2
3,BOLTON STREET,08:30:00,16.4559585492228,2
3,BOLTON STREET,08:40:00,16.58974358974359,2
3,BOLTON STREET,08:50:00,16.46875,2
3,BOLTON STREET,09:00:00,15.933161953727506,2
3,BOLTON STREET,09:10:00,15.814432989690722,2
3,BOLTON STREET,09:20:00,15.976744186046512,2
3,BOLTON STREET,09:30:00,16.11780104712042,2
3,BOLTON STREET,09:40:00,16.02842377260982,2
3,BOLTON STREET,09:50:00,16.05684754521964,2
3,BOLTON STREET,10:00:00,16.041450777202073,2
3,BOLTON STREET,10:10:00,16.012886597938145,2
3,BOLTON STREET,10:20:00,16.133159268929504,2
3,BOLTON STREET,10:30:00,16.141388174807197,2
3,BOLTON STREET,10:40:00,16.152454780361758,2
3,BOLTON STREET,10:50:00,16.036269430051814,2
3,BOLTON STREET,11:00:00,16.202072538860104,2
3,BOLTON STREET,11:10:00,16.406735751295336,2
3,BOLTON STREET,11:20:00,16.297435897435896,2
3,BOLTON STREET,11:30:00,16.353246753246754,2
3,BOLTON STREET,11:40:00,16.09278350515464,2
3,BOLTON STREET,11:50:00,15.633074935400517,2
3,BOLTON STREET,12:00:00,15.376288659793815,2
3,BOLTON STREET,12:10:00,15.300518134715025,2
3,BOLTON STREET,12:20:00,15.2987012987013,2
3,BOLTON STREET,12:30:00,15.086387434554974,2
3,BOLTON STREET,12:40:00,14.25706940874036,2
3,BOLTON STREET,12:50:00,13.517857142857142,2
3,BOLTON STREET,13:00:00,13.139175257731958,2
3,BOLTON STREET,13:10:00,13.163212435233161,2
3,BOLTON STREET,13:20:00,13.074550128534705,2
3,BOLTON STREET,13:30:00,12.858247422680412,2
3,BOLTON STREET,13:40:00,12.7109375,2
3,BOLTON STREET,13:50:00,12.762886597938145,2
3,BOLTON STREET,14:00:00,12.8046875,2
3,BOLTON STREET,14:10:00,12.820971867007673,2
3,BOLTON STREET,14:20:00,12.863049095607234,2
3,BOLTON STREET,14:30:00,13.005208333333334,2
3,BOLTON STREET,14:40:00,13.11111111111111,2
3,BOLTON STREET,14:50:00,13.105943152454781,2
3,BOLTON STREET,15:00:00,13.390625,2
3,BOLTON STREET,15:10:00,13.8125,2
3,BOLTON STREET,15:20:00,13.905013192612138,2
3,BOLTON STREET,15:30:00,14.197889182058047,2
3,BOLTON STREET,15:40:00,14.47012987012987,2
3,BOLTON STREET,15:50:00,14.737789203084834,2
3,BOLTON STREET,16:00:00,14.696569920844327,2
3,BOLTON STREET,16:10:00,14.724675324675324,2
3,BOLTON STREET,16:20:00,14.683116883116883,2
3,BOLTON STREET,16:30:00,14.86340206185567,2
3,BOLTON STREET,16:40:00,15.17922077922078,2
3,BOLTON STREET,16:50:00,15.14102564102564,2
3,BOLTON STREET,17:00:00,15.146153846153846,2
3,BOLTON STREET,17:10:00,15.198453608247423,2
3,BOLTON STREET,17:20:00,14.925257731958762,2
3,BOLTON STREET,17:30:00,14.82901554404145,2
3,BOLTON STREET,17:40:00,14.713917525773196,2
3,BOLTON STREET,17:50:00,14.575520833333334,2
3,BOLTON STREET,18:00:00,14.4921875,2
3,BOLTON STREET,18:10:00,14.384415584415585,2
3,BOLTON STREET,18:20:00,14.343669250645995,2
3,BOLTON STREET,18:30:00,14.144,2
3,BOLTON STREET,18:40:00,14.15979381443299,2
3,BOLTON STREET,18:50:00,14.229974160206718,2
3,BOLTON STREET,19:00:00,14.22279792746114,2
3,BOLTON STREET,19:10:00,14.072916666666666,2
3,BOLTON STREET,19:20:00,14.03896103896104,2
3,BOLTON STREET,19:30:00,13.89922480620155,2
3,BOLTON STREET,19:40:00,13.819843342036554,2
3,BOLTON STREET,19:50:00,13.689119170984457,2
3,BOLTON STREET,20:00:00,13.51968503937008,2
3,BOLTON STREET,20:10:00,13.360526315789473,2
3,BOLTON STREET,20:20:00,13.327272727272728,2
3,BOLTON STREET,20:30:00,13.324742268041238,2
3,BOLTON STREET,20:40:00,13.352480417754569,2
3,BOLTON STREET,20:50:00,13.203125,2
3,BOLTON STREET,21:00:00,13.254545454545454,2
3,BOLTON STREET,21:10:00,13.103092783505154,2
3,BOLTON STREET,21:20:00,13.099476439790577,2
3,BOLTON STREET,21:30:00,13.0859375,2
3,BOLTON STREET,21:40:00,13.015706806282722,2
3,BOLTON STREET,21:50:00,13.002617801047121,2
3,BOLTON STREET,22:00:00,12.924281984334204,2
3,BOLTON STREET,22:10:00,12.739018087855298,2
3,BOLTON STREET,22:20:00,12.559895833333334,2
3,BOLTON STREET,22:30:00,12.413793103448276,2
3,BOLTON STREET,22:40:00,12.483204134366925,2
3,BOLTON STREET,22:50:00,12.564304461942257,2
3,BOLTON STREET,23:00:00,12.62269129287599,2
3,BOLTON STREET,23:10:00,12.633507853403142,2
3,BOLTON STREET,23:20:00,12.662337662337663,2
3,BOLTON STREET,23:30:00,12.57922077922078,2
3,BOLTON STREET,23:40:00,12.630490956072352,2
3,BOLTON STREET,23:50:00,12.542635658914728,2
4,GREEK STREET,00:00:00,10.686684073107049,2
4,GREEK STREET,00:10:00,10.68051948051948,2
4,GREEK STREET,00:20:00,10.717223650385604,2
4,GREEK STREET,00:30:00,10.717948717948717,2
4,GREEK STREET,00:40:00,10.712820512820512,2
4,GREEK STREET,00:50:00,10.689922480620154,2
4,GREEK STREET,01:00:00,10.704370179948587,2
4,GREEK STREET,01:10:00,10.67095115681234,2
4,GREEK STREET,01:20:00,10.70103092783505,2
4,GREEK STREET,01:30:00,10.70076726342711,2
4,GREEK STREET,01:40:00,10.694871794871794,2
4,GREEK STREET,01:50:00,10.716836734693878,2
4,GREEK STREET,02:00:00,10.67012987012987,2
4,GREEK STREET,02:10:00,10.695652173913043,2
4,GREEK STREET,02:20:00,10.697435897435897,2
4,GREEK STREET,02:30:00,10.72378516624041,2
4,GREEK STREET,02:40:00,10.694871794871794,2
4,GREEK STREET,02:50:00,10.710997442455243,2
4,GREEK STREET,03:00:00,10.700520833333334,2
4,GREEK STREET,03:10:00,10.716836734693878,2
4,GREEK STREET,03:20:00,10.716836734693878,2
4,GREEK STREET,03:30:00,10.70103092783505,2
4,GREEK STREET,03:40:00,10.81653746770026,2
4,GREEK STREET,03:50:00,11.684587813620071,2
4,GREEK STREET,04:00:00,10.705882352941176,2
4,GREEK STREET,04:10:00,10.87948717948718,2
4,GREEK STREET,04:20:00,10.982005141388175,2
4,GREEK STREET,04:30:00,11.105670103092784,2
4,GREEK STREET,04:40:00,11.06958762886598,2
4,GREEK STREET,04:50:00,11.19543973941368,2
4,GREEK STREET,05:00:00,11.0,2
4,GREEK STREET,05:10:00,11.033678756476684,2
4,GREEK STREET,05:20:00,11.232984293193716,2
4,GREEK STREET,05:30:00,11.4,2
4,GREEK STREET,05:40:00,11.518324607329843,2
4,GREEK STREET,05:50:00,11.514285714285714,2
4,GREEK STREET,06:00:00,11.643410852713178,2
4,GREEK STREET,06:10:00,11.551546391752577,2
4,GREEK STREET,06:20:00,11.511749347258485,2
4,GREEK STREET,06:30:00,11.924675324675325,2
